,index,source,ArticleID,body,len
0,2,WAPO,WP-1056,"['This live coverage has ended. For the latest updates, please go here.', 'In northern Gaza, the director of Indonesian Hospital said the facility was bombarded early Monday and that Israeli tanks had surrounded the hospital. Israel asserts that Hamas uses the hospitals as cover for its activities and infrastructure, which Hamas and doctors deny. At least 26 of the premature Palestinian babies who were at risk of dying after Gaza’s al-Shifa Hospital ran out of fuel for their incubators arrived in Egypt in an evacuation mission led by the World Health Organization.', '1/4', 'Follow World news', '']",5
1,8,WAPO,WP-1164,"['1/4', 'Follow World news', '']",3
2,9,WAPO,WP-1181,"['This live coverage has ended. For the latest updates, please go here. ', 'Eleven hostages were released by Hamas into Israel on Monday, according to the Israel Defense Forces. In exchange, 33 Palestinian civilians were set to be released from Israeli prison, a spokesman for Qatar’s Foreign Ministry said. Earlier Monday, Israel and Hamas agreed to a deal to extend the fragile pause in fighting in Gaza by two days, according to Qatari officials. Under the deal, mediated by Qatar and Egypt, additional women and children would be released from captivity in the Gaza Strip each day in exchange for Palestinian prisoners. Before Monday, Hamas released 58 hostages, including Thai and Philippine nationals, after a captive exchange deal between Israel and Hamas went into effect Friday. Israel has released more than 100 imprisoned Palestinian women and teenagers in exchange. While fighting has been paused, aid agencies have been racing to boost deliveries to Gaza.', '1/3', 'Follow World news', '']",5
3,12,WAPO,WP-1238,"['1/3', 'Follow World news', 'JERUSALEM — Since Friday, when the brief halt in Israel’s military campaign quieted the skies over Gaza for the first time since Oct. 7, trucks packed with flour, date bars and canned beans have trickled in through the Rafah crossing with Egypt. Vegetables, freshly harvested or retrieved from storage, reappeared on shelves. But the stomachs of Gazans of all classes are still rumbling. Parents go hungry to feed children who still need more. Food prices have soared. Fights have broken out in long aid lines. Begging is a new norm.', 'This is an excerpt from a full story.', 'National Security Council spokesman John Kirby said Thursday of Israeli military operations in Gaza following the pause that the United States does “not support a move to the south” unless Israel can account for the protection of civilians there.', 'Kirby added that “there’s a whole heck of a lot more innocent civilians in southern Gaza” because of corridors that Israel opened, pushing Gazans from the north to the south.', 'Israel refers to all Palestinian prisoners on its list for potential release as “terrorists,” with charges ranging from throwing stones to attempted murder.', 'The World Health Organization’s chief warned that “more people could die from disease than bombings” in Gaza because of poor living conditions and scarce health care. Tedros Adhanom Ghebreyesus said Wednesday that overcrowding and a lack of food, water, medicines, sanitation and waste management were leading to higher cases of chickenpox, lice and diarrhea infections. He said a sustained cease-fire was “a matter of life or death for civilians.”', 'The Israel-Gaza war has gone on for months, and tensions have spilled into the surrounding Middle East region.', 'The war: On Oct. 7, Hamas militants launched an unprecedented cross-border attack on Israel, killing about 1,200 people and taking civilian hostages, including from a music festival. See photos and videos of how the deadly assault unfolded. Israel declared war on Hamas in response, launching a ground invasion that fueled the biggest displacement in the region since Israel’s creation in 1948. In July 2024, Hamas leader Ismail Haniyeh was killed in an attack Hamas has blamed on Israel.', 'Gaza crisis: In the Gaza Strip, Israel has waged one of this century’s most destructive wars, killing tens of thousands and plunging at least half of the population into “famine-like conditions.” For months, Israel has resisted pressure from Western allies to allow more humanitarian aid into the enclave.', 'U.S. involvement: Despite tensions between Israeli Prime Minister Benjamin Netanyahu and some U.S. politicians, including President Biden, the United States supports Israel with weapons, funds aid packages, and has vetoed or abstained from the United Nations’ cease-fire resolutions.', 'History: The roots of the Israeli-Palestinian conflict and mistrust are deep and complex, predating the establishment of the state of Israel in 1948. Read more on the history of the Gaza Strip.', '']",14
4,14,WAPO,WP-1269,"['The seven-day pause in fighting between Israel and Hamas ended early Friday. Each side blamed the other. Israel said Hamas had “violated the operational pause and, in addition, fired toward Israeli territory,” while a Hamas official said talks to extend the pause were “thwarted by the Israelis” who had “refused” an offer to release elderly male hostages and the bodies of three Israeli hostages. The Washington Post could not immediately verify either claim. Several airstrikes were reported across Gaza on Friday morning; a Post photographer witnessed a strike 200 meters from a hospital in Khan Younis in the south. Sirens blared in Israeli communities near the Gaza border, the Israel Defense Forces said.', '1/4', 'Follow World news', 'Israel’s military is considering the establishment of a “buffer zone” inside Gaza once its war with Hamas is over to ensure that militants “cannot gather military capabilities close to the border and surprise Israel again,” an Israeli official said Friday.', 'Rep. Adam Smith (D-Wash.) said his home in Bellvue, Wash., was vandalized Thursday night by people advocating for a cease-fire in Gaza. A spokesman for the Bellvue Police said Friday the department was working with U.S. Capitol Police to investigate the incident that included graffiti spray painted on the home’s garage door.', 'This is an excerpt from a full story.', 'President Biden and the rest of his administration “will continue to remain deeply engaged” in trying to reinstate the pause in fighting in Gaza to enable “more hostages released and more aid getting in,” White House National Security Council spokesman John Kirby said Friday.', '“The onus is on Hamas” for the return to fighting, because it failed late Thursday to submit a list of the next group of  female and child hostages to be released, Kirby said.', 'The Israel-Gaza war has gone on for months, and tensions have spilled into the surrounding Middle East region.', 'The war: On Oct. 7, Hamas militants launched an unprecedented cross-border attack on Israel, killing about 1,200 people and taking civilian hostages, including from a music festival. See photos and videos of how the deadly assault unfolded. Israel declared war on Hamas in response, launching a ground invasion that fueled the biggest displacement in the region since Israel’s creation in 1948. In July 2024, Hamas leader Ismail Haniyeh was killed in an attack Hamas has blamed on Israel.', 'Gaza crisis: In the Gaza Strip, Israel has waged one of this century’s most destructive wars, killing tens of thousands and plunging at least half of the population into “famine-like conditions.” For months, Israel has resisted pressure from Western allies to allow more humanitarian aid into the enclave.', 'U.S. involvement: Despite tensions between Israeli Prime Minister Benjamin Netanyahu and some U.S. politicians, including President Biden, the United States supports Israel with weapons, funds aid packages, and has vetoed or abstained from the United Nations’ cease-fire resolutions.', 'History: The roots of the Israeli-Palestinian conflict and mistrust are deep and complex, predating the establishment of the state of Israel in 1948. Read more on the history of the Gaza Strip.', '']",14
5,17,WAPO,WP-1328,"['1/3', 'Follow World news', '']",3
6,19,WAPO,WP-1387,"['This live coverage has ended. For the latest updates, please go here. ', '1/4', 'Follow World news', '']",4
7,20,WAPO,WP-1410,"['This live coverage has ended. For the latest updates, please go here.', 'Secretary of State Antony Blinken said there is a “gap” between Israel’s stated intent of protecting civilians and what’s happening in Gaza, an apparent crack in the administrations’ humanitarian agreement from last week. The Gaza Health Ministry said 350 people were killed in the enclave in 24 hours, bringing the total death toll to more than 17,000.', '1/7', 'Follow World news', '']",5
8,21,WAPO,WP-1412,"['The United States vetoed a U.N. Security Council draft resolution Friday that called for an immediate humanitarian cease-fire in Gaza. The resolution was backed by the majority of the U.N. Security Council. Earlier Friday, Israel said that it was continuing “intense close-quarter combat” in Khan Younis in southern Gaza as well as in the north of the enclave as its military operations show no sign of letting up.', '1/5', 'Follow World news', '']",4
9,28,WAPO,WP-1562,"['Israeli soldiers mistakenly shot dead three Israeli hostages — Yotam Haim and Alon Shamriz of Kibbutz Kfar Aza and Samer Al-Talalka of Kibbutz Nir Am — during fighting in Gaza, the Israel Defense Forces said Friday. IDF troops mistook the hostages, who had been captured in the Hamas-led attack on Israel on Oct. 7, for a threat and fired at them during fighting in the Shejaiya neighborhood east of Gaza City, the IDF said in a statement. Later, “a suspicion arose over the identities of the deceased,” so the bodies were transferred to Israel, where they were confirmed to be hostages. The deaths of the hostages sparked protests in Tel Aviv, according to reports in local media.', '1/7', 'Follow World news', '']",4
10,29,WAPO,WP-1580,"['This live coverage has ended. For the latest updates, please go here.', 'TEL AVIV — Protesters rallied while hostages’ families planned to meet with Israeli cabinet members Saturday, frustrated that the government has not taken a new path beyond a military operation to secure the release of their loved ones who were taken Oct. 7. Earlier in the day a senior Israeli military official said three hostages killed by Israeli forces in Gaza were carrying a makeshift white flag when a soldier felt threatened and opened fire, violating “our rules of engagement.”', '1/5', 'Follow World news', '']",5
11,32,WAPO,WP-1629,"['This live coverage has ended. For the latest updates, please go here.', 'Yemen-based Houthi militants said Tuesday they would not stop their “military operations” in the Red Sea after U.S. Defense Secretary Lloyd Austin announced the formation of a multinational naval coalition to protect commercial ships in the region. The Iranian-aligned group has targeted vessels with ties to Israel or traveling there. Meanwhile, talks have resumed on a potential deal to free more than 100 hostages still held by Hamas.', '1/5', 'Follow World news', 'The Israel-Gaza war has gone on for months, and tensions have spilled into the surrounding Middle East region.', 'The war: On Oct. 7, Hamas militants launched an unprecedented cross-border attack on Israel, killing about 1,200 people and taking civilian hostages, including from a music festival. See photos and videos of how the deadly assault unfolded. Israel declared war on Hamas in response, launching a ground invasion that fueled the biggest displacement in the region since Israel’s creation in 1948. In July 2024, Hamas leader Ismail Haniyeh was killed in an attack Hamas has blamed on Israel.', 'Gaza crisis: In the Gaza Strip, Israel has waged one of this century’s most destructive wars, killing tens of thousands and plunging at least half of the population into “famine-like conditions.” For months, Israel has resisted pressure from Western allies to allow more humanitarian aid into the enclave.', 'U.S. involvement: Despite tensions between Israeli Prime Minister Benjamin Netanyahu and some U.S. politicians, including President Biden, the United States supports Israel with weapons, funds aid packages, and has vetoed or abstained from the United Nations’ cease-fire resolutions.', 'History: The roots of the Israeli-Palestinian conflict and mistrust are deep and complex, predating the establishment of the state of Israel in 1948. Read more on the history of the Gaza Strip.', '']",10
12,38,WAPO,WP-1701,"['This live coverage has now ended. For the latest updates, please go here.', 'At least 70 people were killed late Sunday in central Gaza when an Israeli airstrike hit a residential block in the Maghazi refugee camp, according to the Gaza Health Ministry. The Israeli military said Sunday that 15 soldiers had been killed in Gaza over the weekend, with Prime Minister Benjamin Netanyahu vowing to press on with the war.', '1/4', 'Follow World news', '']",5
13,5,WAPO,WP-1774,"['This live coverage has ended. For the latest updates, please go here.', 'Sen. Tim Kaine (D-Va.) criticized the State Department’s circumvention of Congress in approving a $147.5 million arms sale to Israel. Kaine, a member of the Senate Armed Services Committee, demanded a “public explanation of the rationale behind this decision — the second such decision this month.” In a Friday announcement, the State Department said the proposed sale of 155-millimeter artillery shells and related equipment is consistent with the U.S. commitment to Israel’s security and efforts to help it “develop and maintain a strong and ready self-defense capability.”', '1/4', 'Follow World news', 'South Africa  has instituted proceedings against Israel at the International Court of Justice, calling on the Court to find that in its war in Gaza, Israel has violated the Genocide Convention of 1948, which codified genocide as an international crime.', 'In its filing on Friday, South Africa said Israel had “engaged in, is engaging in and risks further engaging in genocidal acts against the Palestinian people in Gaza,” according to a statement published by the Court. The International Court of Justice, an organ of the United Nations, was instituted to resolve legal disputes between U.N. member states.', 'Israel’s Foreign Ministry denounced the filing on social media Friday, and called on the Court to dismiss the filing.', '“Israel rejects with disgust the blood libel spread by South Africa in its application to the International Court of Justice,” said Lior Haiat, spokesman for Israel’s Foreign Ministry, on the social media platform X. “Israel is committed to international law and acts in accordance with it, and directs its military efforts solely against the Hamas terrorist organization and the other terrorist organizations cooperating with Hamas.”', '“Israel has made it clear that the residents of the Gaza Strip are not the enemy, and is making every effort to limit harm to civilians and to facilitate the entry of humanitarian aid to the Gaza Strip,” Haiat added.', 'The Palestinian Foreign Ministry, based in the West Bank, welcomed the South African action, saying in a statement that “Israel’s stated policy, acts and omissions are genocidal in character.”', '“Urgent intervention and action is needed to protect against and prevent further harm to the Palestinian people,” the ministry continued.', 'The Israel-Gaza war has gone on for months, and tensions have spilled into the surrounding Middle East region.', 'The war: On Oct. 7, Hamas militants launched an unprecedented cross-border attack on Israel, killing about 1,200 people and taking civilian hostages, including from a music festival. See photos and videos of how the deadly assault unfolded. Israel declared war on Hamas in response, launching a ground invasion that fueled the biggest displacement in the region since Israel’s creation in 1948. In July 2024, Hamas leader Ismail Haniyeh was killed in an attack Hamas has blamed on Israel.', 'Gaza crisis: In the Gaza Strip, Israel has waged one of this century’s most destructive wars, killing tens of thousands and plunging at least half of the population into “famine-like conditions.” For months, Israel has resisted pressure from Western allies to allow more humanitarian aid into the enclave.', 'U.S. involvement: Despite tensions between Israeli Prime Minister Benjamin Netanyahu and some U.S. politicians, including President Biden, the United States supports Israel with weapons, funds aid packages, and has vetoed or abstained from the United Nations’ cease-fire resolutions.', 'History: The roots of the Israeli-Palestinian conflict and mistrust are deep and complex, predating the establishment of the state of Israel in 1948. Read more on the history of the Gaza Strip.', '']",17
14,14,WAPO,WP-1877,"['Get the latest news on the 2024 presidential election from our reporters in Washington and on the campaign trail.', '1/4', 'Follow Election 2024', 'Donald Trump said the economy is in danger of crashing and he hopes it happens within the next year, before he would return to office if he wins the election in November.', '“We have an economy that’s so fragile, and the only reason it’s running now is it’s running off the fumes of what we did,” Trump said in an interview with right-wing host Lou Dobbs that aired tonight. “And when there’s a crash, I hope it’s going to be during this next 12 months because I don’t want to be Herbert Hoover,” Trump added, referring to the president during the 1929 stock market crash that led to the Great Depression.', 'President Biden has begun the 2024 election year with a concerted effort to train the nation’s eyes on his presumptive opponent, Donald Trump.', 'Biden delivered a speech Friday marking the third anniversary of the Jan. 6, 2021, insurrection and pitching Trump as a threat to democracy. On Monday, he spoke at the historically Black church in South Carolina that was the site of a racist massacre and accused Trump’s MAGA Republicans of trying to erase history.', 'This is an excerpt from a full story.', 'Former president Donald Trump and former Fox Business host Lou Dobbs are going heavy on baseless stolen election claims in an interview airing on Dobbs’s new show on the pro-Trump John Fredericks Radio Network. “I think we’re very close to being at the end of our country as we know it,” Trump said.', 'Across party lines and even within the two major parties, there is disagreement about whether the early months of this year will have a significant impact on the fall election. One view holds that nothing other than a major surprise early this year will reshape a Biden-versus-Trump contest.', 'Nikki Haley has been pressed on several of Donald Trump’s attacks on her at this Fox News town hall. Asked about Trump criticizing her for previously saying she wouldn’t run against him, she cites three changes since her comment: Afghanistan, inflation and “ridiculous” midterm loses.', '“I appreciate all the attention President Trump is giving me. It is quite sweet and thoughtful of him,” she said.', 'Follow live updates on the 2024 election and the contest between Vice President Kamala Harris and former president Donald Trump from our reporters on the campaign trail and in Washington.', 'Potential assassination attempt: Trump was unharmed in what authorities are investigating as another potential assassination attempt, after a man pointed a rifle into a Florida golf course where the former president was playing. Police arrested Ryan Wesley Routh, a 58-year-old man who spent recent years trying to join the war in Ukraine, according to online posts and law enforcement officials.', 'Policy positions: We’ve collected Harris’s and Trump’s stances on the most important issues — abortion, economic policy, immigration and more.', 'Presidential polls: Check out how Harris and Trump stack up, according to The Washington Post’s presidential polling averages of seven battleground states. We’ve identified eight possible paths to victory based on the candidates’ current standing in the polls.', 'Senate control: Senate Democrats are at risk of losing their slim 51-49 majority this fall. The Post breaks down the eight races and three long shots that could determine Senate control.', '']",18
15,18,WAPO,WP-1936,"['This live coverage has ended. For the latest updates, please go here. ', 'U.S. and British military forces, with support from Australia, Bahrain, Canada and the Netherlands, struck “a number of targets in Yemen used by Houthi rebels to endanger freedom of navigation in one of the world’s most vital waterways,” President Biden said late Thursday. The Houthi-run Masirah news channel said airstrikes had targeted a military air base adjacent to the international airport in Sanaa, the Yemeni capital, where residents reported the sound of explosions around 2:30 a.m.', '1/4', 'Follow World news', '']",5
16,21,WAPO,WP-1963,"['This live coverage has ended. For the latest updates, please go here.', 'The United States continued its assault on Houthi militants in Yemen, carrying out a strike on a Houthi radar site early Saturday local time, U.S. Central Command said. The latest strike caused no injuries or damage, a Houthi official told Al Jazeera on Saturday, vowing a “firm, strong and effective response.” In Gaza, Israeli strikes killed dozens more people as an internet blackout continued into a second day Saturday, according to monitoring group NetBlocks. Sunday will mark 100 days of war between Israel and Hamas.', '1/6', 'Follow World news', '']",5
17,23,WAPO,WP-1979,"['This live coverage has ended. For the latest updates, please go here.', 'Israel’s defense minister said Monday that its high-intensity operation in the northern end of the Gaza Strip had ended, a change U.S. officials had urged the Israeli military to adopt by February. In northern Iraq’s semiautonomous Kurdish region, Iran’s Revolutionary Guard Corps said they attacked what they said was an “espionage” site of Israel’s Mossad intelligence agency early Tuesday local time, according to state media.', '1/6', 'Follow World news', '']",5
18,26,WAPO,WP-2036,"['Former president Donald Trump is back in New Hampshire on Friday evening for rallies leading up to the Republican primary on Tuesday. Former U.N. ambassador Nikki Haley, who is seeking to stall Trump’s momentum with a strong showing in the Granite State, is out on the campaign trail, and Florida Gov. Ron DeSantis (R) is also in the state on Friday.', '1/3', 'Follow Election 2024', '']",4
19,27,WAPO,WP-2044,"['U.S. naval forces launched three additional strikes against Houthi forces in Yemen on Friday morning, targeting anti-ship missiles, according to National Security Council spokesman John Kirby. He described the attacks as “preemptive” and in self-defense. The strikes, which followed successive rounds over the past 10 days, came after Houthi militants targeted a U.S. tanker, in the third such attack on commercial shipping in three days, U.S. Central Command said. President Biden acknowledged that U.S. strikes have not deterred the Iran-aligned group. In the Gaza Strip, internet and cellphone communications were gradually restored Friday night, ending a week-long outage that kept most of the territory’s 2.1 million people cut off, amid a war and humanitarian crisis.', '1/6', 'Follow World news', '']",4
20,41,WAPO,WP-225,"['1/4', 'Follow World news', '']",3
21,43,WAPO,WP-2270,"['The United States conducted strikes in Iraq and Syria on Friday, beginning what the Biden administration said will be a multiday retaliatory campaign against Iranian-aligned militants whom the White House blames for the killing of three U.S. soldiers in Jordan on Sunday.', '“Our response began today,” President Biden said in a statement following the strikes. “It will continue at times and places of our choosing.” He said the United States “does not seek conflict in the Middle East” but cautioned that attacks against Americans would garner a response.', '1/4', 'Follow World news', '']",5
22,52,WAPO,WP-240,"['1/5', 'Follow World news', '']",3
23,54,WAPO,WP-2441,"['Israel’s military said it rescued two hostages from the southern Gazan city of Rafah early Monday while carrying out a wave of strikes, which Gaza’s Health Ministry said killed at least 67 people. As Gazans reported violent bombardment from all directions in Rafah, Israeli Prime Minister Benjamin Netanyahu said he would use “continued military pressure” to return the remaining hostages.', '1/7', 'Follow World news', '']",4
24,57,WAPO,WP-2476,"['Get the latest news on the 2024 election from our reporters on the campaign trail and in Washington.', '1/4', 'Follow Election 2024', '']",4
25,58,WAPO,WP-2481,"['Israel launched an attack on neighboring Lebanon on Wednesday, striking various locations in the south that killed at least four people and raising the specter of war between the two countries. The strikes followed a morning attack launched from Lebanon into Israel that struck a house and a military base. One Israeli woman was killed, and at least eight people were injured, according to a government spokeswoman. Meanwhile, negotiations over a potential deal to pause the fighting in Gaza and release the remaining hostages continued into a second day— though appeared to falter —on Wednesday, amid mounting concerns over an expected Israeli military operation in the crowded southern city of Rafah.', '1/4', 'Follow World news', '']",4
26,60,WAPO,WP-2518,"['The Israeli military continued its raid on Nasser Hospital, the main hospital in southern Gaza’s Khan Younis, on Friday, calling it an operation to recover the bodies of hostages. The Gaza Health Ministry said five intensive care patients have died of a lack of oxygen during a power outage at the hospital and that the military was moving patients and entering buildings in the complex.', '1/5', 'Follow World news', '']",4
27,62,WAPO,WP-2557,"['The United States vetoed an Arab-sponsored resolution that called for an immediate cease-fire in Gaza and the release of all hostages in a U.N. Security Council vote Tuesday. The United States has circulated its own draft resolution seeking a six-week pause in fighting — calling it a “temporary ceasefire” — and the phased release of hostages.', '1/6', 'Follow World news', '']",4
28,66,WAPO,WP-2600,"['Israeli Prime Minister Benjamin Netanyahu released a postwar plan for Gaza that pushes for indefinite military control over the Palestinian enclave. In Paris, negotiators are trying to reach a deal for the release of hostages and a cessation of fighting in Gaza. An Israeli official said Israel’s delegation headed to Paris on Friday for the talks, which are expected to include senior U.S., Qatari and Egyptian officials.', '1/6', 'Follow World news', '']",4
29,67,WAPO,WP-2619,"['A man is in critical condition after setting himself on fire while wearing military fatigues midday Sunday outside the Israeli Embassy in D.C., authorities said.', 'No one else was injured in the incident, which took place just before 1 p.m. in the 3500 block of International Drive NW. A video shared online that multiple officials said appeared to be posted by the man shows him referring to  his service in the U.S. armed forces and shouting “Free Palestine” as he burned.', '']",3
30,74,WAPO,WP-2701,"['President Biden and former president Donald Trump are making dueling visits to different areas along the U.S.-Mexico border Thursday, underscoring how central immigration issues are in this year’s presidential election campaign. Biden, during a trip to Brownsville, Tex., chided Republicans for blocking a Senate bill that would have provided billions of dollars in additional funding for border security. Trump, during a visit to Eagle Pass, Tex., blamed Biden for illegal crossings.', '1/2', 'Follow Election 2024', '']",4
31,83,WAPO,WP-2861,"['Officials from the United States, Europe and United Arab Emirates have announced plans for a new maritime corridor to deliver much-needed humanitarian aid to the Gaza Strip by sea. European Commission head Ursula von der Leyen said a pilot aid delivery operation would begin Friday, with hopes the corridor could formally open this weekend. In his State of the Union speech Thursday, President Biden unveiled a plan to build a temporary pier on Gaza’s coast to scale up aid shipments.', '1/5', 'Follow World news', '']",4
32,86,WAPO,WP-29,"['1/4', 'Follow World news', '']",3
33,88,WAPO,WP-2920,"['A dire food shortage and ongoing Israeli strikes in Gaza have made for a somber start to Ramadan — normally a time of dawn-to-dusk fasting and celebration — after failure to agree on a cease-fire by the start of the Muslim holy month. A ship loaded with desperately needed humanitarian aid has departed Cyprus for Gaza, as part of a maritime aid corridor announced by the United States and its allies last week.', '1/4', 'Follow World news', '']",4
34,89,WAPO,WP-2930,"['President Biden returned to the campaign trail Wednesday — with a trip to the battleground state of Wisconsin — after he and former president Donald Trump secured their parties’ nominations for the presidency Tuesday night. Their victories in the latest nominating contests set up a rematch that has appeared inevitable for months.', '1/4', 'Follow Election 2024', 'MILWAUKEE — President Biden, speaking Wednesday in a community that he cited as a painful example of racist urban policy, highlighted a new economic strategy aimed at revitalizing places that for decades have been cut off from the nation’s growing prosperity.', 'This is an excerpt from a full story.', 'Donald Trump set off a panic in some of the more extreme corners of his base last week during President Biden’s State of the Union. Trump’s offense? Taking credit for the coronavirus vaccines that Biden hailed.', 'Alex Jones threatened to go on the “warpath” if Trump kept it up. Michael Flynn agreed with Jones’s plea for Trump to stop. And Charlie Kirk chimed in among his fellow right-wing influencers with a warning of electoral peril for Trump.', 'This is an excerpt from a full story.', 'Independent presidential candidate Robert F. Kennedy Jr., who said he has selected a running mate and will announce the person in California later this month, had a conversation with NFL player Aaron Rodgers about the role, according to someone familiar with the process. Though Kennedy’s campaign confirmed to the New York Times that Rodgers was high on his list, alongside former independent Minnesota governor Jesse Ventura, it has not said if Rodgers was offered the job.', 'This is an excerpt from a full story.', 'Follow live updates on the 2024 election and the contest between Vice President Kamala Harris and former president Donald Trump from our reporters on the campaign trail and in Washington.', 'Potential assassination attempt: Trump was unharmed in what authorities are investigating as another potential assassination attempt, after a man pointed a rifle into a Florida golf course where the former president was playing. Police arrested Ryan Wesley Routh, a 58-year-old man who spent recent years trying to join the war in Ukraine, according to online posts and law enforcement officials.', 'Policy positions: We’ve collected Harris’s and Trump’s stances on the most important issues — abortion, economic policy, immigration and more.', 'Presidential polls: Check out how Harris and Trump stack up, according to The Washington Post’s presidential polling averages of seven battleground states. We’ve identified eight possible paths to victory based on the candidates’ current standing in the polls.', 'Senate control: Senate Democrats are at risk of losing their slim 51-49 majority this fall. The Post breaks down the eight races and three long shots that could determine Senate control.', '']",16
